Drug,Metabolite,Change,Increased,Decreased,Description
Halothane,Ammonia,increased,1,0,Halothane increases the level of Ammonia in the blood
Halothane,Bilirubin,increased,1,0,Halothane increases the level of Bilirubin in the blood
Halothane,Creatinine,increased,1,0,Halothane increases the level of Creatinine in the blood
Halothane,Bromide,increased,1,0,Halothane increases the level of Bromide in the blood
Heparin,Potassium,increased,1,0,Heparin increases the level of Potassium in the blood
Hexoprenaline,Free fatty acids,increased,1,0,Hexoprenaline increases the level of Free fatty acids in the blood
Hexoprenaline,Glucose,increased,1,0,Hexoprenaline increases the level of Glucose in the blood
Hydralazine,CGMP,increased,1,0,Hydralazine increases the level of CGMP in the blood
Hydrochlorothiazide,Bilirubin,increased,1,0,Hydrochlorothiazide increases the level of Bilirubin in the blood
Hydrochlorothiazide,Threonine,decreased,0,1,Hydrochlorothiazide decreases the level of Threonine in the blood
Hydrochlorothiazide,Potassium,decreased,0,1,Hydrochlorothiazide decreases the level of Potassium in the blood
Hydrochlorothiazide,Kynurenine,increased,1,0,Hydrochlorothiazide increases the level of Kynurenine in the blood
Hydrochlorothiazide,Chloride,decreased,0,1,Hydrochlorothiazide decreases the level of Chloride in the blood
Hydrochlorothiazide,Triglycerides,increased,1,0,Hydrochlorothiazide increases the level of Triglycerides in the blood
Hydrochlorothiazide,Cholesterol,increased,1,0,Hydrochlorothiazide increases the level of Cholesterol in the blood
Hydrochlorothiazide,Sodium,decreased,0,1,Hydrochlorothiazide decreases the level of Sodium in the blood
Hydrochlorothiazide,Bilirubin,decreased,0,1,Hydrochlorothiazide decreases the level of Bilirubin in the blood
Hydrochlorothiazide,Uric acid,decreased,0,1,Hydrochlorothiazide decreases the level of Uric acid in the blood
Hydrochlorothiazide,Glycero- gulo-heptose NIST,increased,1,0,Hydrochlorothiazide increases the level of Glycero- gulo-heptose NIST in the blood
Hydrochlorothiazide,Urea,decreased,0,1,Hydrochlorothiazide decreases the level of Urea in the blood
Hydrochlorothiazide,Sodium,increased,1,0,Hydrochlorothiazide increases the level of Sodium in the blood
Hydrochlorothiazide,Phosphorus,increased,1,0,Hydrochlorothiazide increases the level of Phosphorus in the blood
Hydrochlorothiazide,Dihydroabietic acid,increased,1,0,Hydrochlorothiazide increases the level of Dihydroabietic acid in the blood
Hydrochlorothiazide,Homocysteine,increased,1,0,Hydrochlorothiazide increases the level of Homocysteine in the blood
Hydrochlorothiazide,Serine,decreased,0,1,Hydrochlorothiazide decreases the level of Serine in the blood
Hydrochlorothiazide,Creatinine,increased,1,0,Hydrochlorothiazide increases the level of Creatinine in the blood
Hydrochlorothiazide,HDL cholesterol,decreased,0,1,Hydrochlorothiazide decreases the level of HDL cholesterol in the blood
Hydrochlorothiazide,Behenic acid,increased,1,0,Hydrochlorothiazide increases the level of Behenic acid in the blood
Hydrochlorothiazide,1-hexadecanol,increased,1,0,Hydrochlorothiazide increases the level of 1-hexadecanol in the blood
Hydrochlorothiazide,Glucose 1-phosphate,increased,1,0,Hydrochlorothiazide increases the level of Glucose 1-phosphate in the blood
Hydrochlorothiazide,Aconitic acid,increased,1,0,Hydrochlorothiazide increases the level of Aconitic acid in the blood
Hydrochlorothiazide,2-ketoisocaproic acid major,increased,1,0,Hydrochlorothiazide increases the level of 2-ketoisocaproic acid major in the blood
Hydrochlorothiazide,Magnesium,decreased,0,1,Hydrochlorothiazide decreases the level of Magnesium in the blood
Hydrochlorothiazide,BUN,increased,1,0,Hydrochlorothiazide increases the level of BUN in the blood
Hydrochlorothiazide,Glutamine,decreased,0,1,Hydrochlorothiazide decreases the level of Glutamine in the blood
Hydrochlorothiazide,Calcium,increased,1,0,Hydrochlorothiazide increases the level of Calcium in the blood
Hydrochlorothiazide,Glycine,increased,1,0,Hydrochlorothiazide increases the level of Glycine in the blood
Hydrochlorothiazide,Erythritol,increased,1,0,Hydrochlorothiazide increases the level of Erythritol in the blood
Hydrochlorothiazide,Uric acid,increased,1,0,Hydrochlorothiazide increases the level of Uric acid in the blood
Hydrochlorothiazide,Glucose,increased,1,0,Hydrochlorothiazide increases the level of Glucose in the blood
Hydrochlorothiazide,Creatinine,decreased,0,1,Hydrochlorothiazide decreases the level of Creatinine in the blood
Hydrochlorothiazide,Norepinephrine,increased,1,0,Hydrochlorothiazide increases the level of Norepinephrine in the blood
Hydrochlorothiazide,LDL cholesterol,decreased,0,1,Hydrochlorothiazide decreases the level of LDL cholesterol in the blood
Hydrochlorothiazide,Ribonic acid,increased,1,0,Hydrochlorothiazide increases the level of Ribonic acid in the blood
Hydrochlorothiazide,Epinephrine,increased,1,0,Hydrochlorothiazide increases the level of Epinephrine in the blood
Hydrocortisone,Cortisol,increased,1,0,Hydrocortisone increases the level of Cortisol in the blood
Hydrocortisone,potassium,decreased,0,1,Hydrocortisone decreases the level of potassium in the blood
Hydroflumethiazide,Uric acid,increased,1,0,Hydroflumethiazide increases the level of Uric acid in the blood
Hydroflumethiazide,Potassium,decreased,0,1,Hydroflumethiazide decreases the level of Potassium in the blood
Hydroflumethiazide,Glucose,increased,1,0,Hydroflumethiazide increases the level of Glucose in the blood
Hydroflumethiazide,LDL cholesterol,increased,1,0,Hydroflumethiazide increases the level of LDL cholesterol in the blood
Hydromorphone,Hydromorphone-3-glucuronide,increased,1,0,Hydromorphone increases the level of Hydromorphone-3-glucuronide in the blood
Hydroxocobalamin,Methionine,increased,1,0,Hydroxocobalamin increases the level of Methionine in the blood
Hydroxocobalamin,Thiosulfate,decreased,0,1,Hydroxocobalamin decreases the level of Thiosulfate in the blood
Hydroxocobalamin,Homocystine,decreased,0,1,Hydroxocobalamin decreases the level of Homocystine in the blood
Hydroxocobalamin,Total homocysteine,decreased,0,1,Hydroxocobalamin decreases the level of Total homocysteine in the blood
Hydroxocobalamin,Cobalamin,increased,1,0,Hydroxocobalamin increases the level of Cobalamin in the blood
Hydroxocobalamin,Sulfide,decreased,0,1,Hydroxocobalamin decreases the level of Sulfide in the blood
Hydroxychloroquine,Glucose,decreased,0,1,Hydroxychloroquine decreases the level of Glucose in the blood
Hydroxyurea,Uric acid,increased,1,0,Hydroxyurea increases the level of Uric acid in the blood
Hydroxyurea,Blood urea nitrogen,increased,1,0,Hydroxyurea increases the level of Blood urea nitrogen in the blood
Hydroxyurea,Creatinine,increased,1,0,Hydroxyurea increases the level of Creatinine in the blood
Hydroxyurea,Bilirubin,decreased,0,1,Hydroxyurea decreases the level of Bilirubin in the blood
Hyperforin,"1,25-dihydroxyvitamin D3",decreased,0,1,"Hyperforin decreases the level of 1,25-dihydroxyvitamin D3 in the blood"
Hyperforin,25-hydroxyvitamin D,decreased,0,1,Hyperforin decreases the level of 25-hydroxyvitamin D in the blood
Ibandronate,Creatinine,increased,1,0,Ibandronate increases the level of Creatinine in the blood
Ibrutinib,Phosphate,decreased,0,1,Ibrutinib decreases the level of Phosphate in the blood
Ibrutinib,Creatinine,increased,1,0,Ibrutinib increases the level of Creatinine in the blood
Ibrutinib,Potassium,increased,1,0,Ibrutinib increases the level of Potassium in the blood
Ibuprofen,Free bilirubin,increased,1,0,Ibuprofen increases the level of Free bilirubin in the blood
Ibuprofen,Cortisol,decreased,0,1,Ibuprofen decreases the level of Cortisol in the blood
Ibuprofen,Creatinine,increased,1,0,Ibuprofen increases the level of Creatinine in the blood
Icatibant,Creatinine,increased,1,0,Icatibant increases the level of Creatinine in the blood
Icosapent ethyl,Triglycerides,decreased,0,1,Icosapent ethyl decreases the level of Triglycerides in the blood
Idarubicin,Bilirubin,increased,1,0,Idarubicin increases the level of Bilirubin in the blood
Idebenone,Lipid peroxide,decreased,0,1,Idebenone decreases the level of Lipid peroxide in the blood
Ifosfamide,Antidiuretic hormone,increased,1,0,Ifosfamide increases the level of Antidiuretic hormone in the blood
Ifosfamide,Antidiuretic hormone,increased,1,0,Ifosfamide increases the level of Antidiuretic hormone in the blood
Ifosfamide,Sodium,decreased,0,1,Ifosfamide decreases the level of Sodium in the blood
Ifosfamide,Phosphate,decreased,0,1,Ifosfamide decreases the level of Phosphate in the blood
Ifosfamide,blood urea nitrogen,increased,1,0,Ifosfamide increases the level of blood urea nitrogen in the blood
Ifosfamide,Sodium,decreased,0,1,Ifosfamide decreases the level of Sodium in the blood
Ifosfamide,creatinine,increased,1,0,Ifosfamide increases the level of creatinine in the blood
Iloprost,malondialdehyde,decreased,0,1,Iloprost decreases the level of malondialdehyde in the blood
Iloprost,Asymmetric dimethylarginine (ADMA),decreased,0,1,Iloprost decreases the level of Asymmetric dimethylarginine (ADMA) in the blood
Iloprost,Serotonin,decreased,0,1,Iloprost decreases the level of Serotonin in the blood
Iloprost,Thromboxane B2,decreased,0,1,Iloprost decreases the level of Thromboxane B2 in the blood
Iloprost,CGMP,increased,1,0,Iloprost increases the level of CGMP in the blood
Iloprost,CAMP,increased,1,0,Iloprost increases the level of CAMP in the blood
Imatinib,Sodium,decreased,0,1,Imatinib decreases the level of Sodium in the blood
Imatinib,Calcium,decreased,0,1,Imatinib decreases the level of Calcium in the blood
Imatinib,Phosphate,decreased,0,1,Imatinib decreases the level of Phosphate in the blood
Imatinib,N-telopeptide of collagen cross-links,decreased,0,1,Imatinib decreases the level of N-telopeptide of collagen cross-links in the blood
Imatinib,Antidiuretic hormone,increased,1,0,Imatinib increases the level of Antidiuretic hormone in the blood
Imatinib,Sodium,decreased,0,1,Imatinib decreases the level of Sodium in the blood
Imidapril,Bradykinin,increased,1,0,Imidapril increases the level of Bradykinin in the blood
Imipramine,Tryptophan,decreased,0,1,Imipramine decreases the level of Tryptophan in the blood
Imipramine,Tyrosine,decreased,0,1,Imipramine decreases the level of Tyrosine in the blood
Indapamide,Glucose,increased,1,0,Indapamide increases the level of Glucose in the blood
Indapamide,Sodium,increased,1,0,Indapamide increases the level of Sodium in the blood
Indapamide,Sodium,decreased,0,1,Indapamide decreases the level of Sodium in the blood
Indapamide,potassium,decreased,0,1,Indapamide decreases the level of potassium in the blood
Indapamide,Potassium,decreased,0,1,Indapamide decreases the level of Potassium in the blood
Indapamide,Chloride,decreased,0,1,Indapamide decreases the level of Chloride in the blood
Indinavir,Triglycerides,increased,1,0,Indinavir increases the level of Triglycerides in the blood
Indinavir,Bilirubin,increased,1,0,Indinavir increases the level of Bilirubin in the blood
Indinavir,LDL cholesterol,increased,1,0,Indinavir increases the level of LDL cholesterol in the blood
Indinavir,Glucose,increased,1,0,Indinavir increases the level of Glucose in the blood
Indinavir,HDL cholesterol,increased,1,0,Indinavir increases the level of HDL cholesterol in the blood
Indinavir,Cholesterol,increased,1,0,Indinavir increases the level of Cholesterol in the blood
Indinavir,Creatinine,increased,1,0,Indinavir increases the level of Creatinine in the blood
Indinavir,Total cholesterol,increased,1,0,Indinavir increases the level of Total cholesterol in the blood
Indomethacin,Aldosterone,decreased,0,1,Indomethacin decreases the level of Aldosterone in the blood
Indomethacin,Thromboxane B2,decreased,0,1,Indomethacin decreases the level of Thromboxane B2 in the blood
Infliximab,Triglycerides,increased,1,0,Infliximab increases the level of Triglycerides in the blood
Infliximab,VLDL cholesterol,increased,1,0,Infliximab increases the level of VLDL cholesterol in the blood
Insulin aspart,Glucose,decreased,0,1,Insulin aspart decreases the level of Glucose in the blood
Insulin detemir,Glucose,decreased,0,1,Insulin detemir decreases the level of Glucose in the blood
Insulin glargine,Glucose,decreased,0,1,Insulin glargine decreases the level of Glucose in the blood
Insulin glulisine,Glucose,decreased,0,1,Insulin glulisine decreases the level of Glucose in the blood
Insulin human,Glucose,decreased,0,1,Insulin human decreases the level of Glucose in the blood
Insulin lispro,Glucose,decreased,0,1,Insulin lispro decreases the level of Glucose in the blood
Inulin,Triglycerides,decreased,0,1,Inulin decreases the level of Triglycerides in the blood
Inulin,Glucose,decreased,0,1,Inulin decreases the level of Glucose in the blood
Inulin,P-Cresyl sulfate,decreased,0,1,Inulin decreases the level of P-Cresyl sulfate in the blood
Iodide,T3,decreased,0,1,Iodide decreases the level of T3 in the blood
Iodide,T4,decreased,0,1,Iodide decreases the level of T4 in the blood
Iodixanol,Creatinine,increased,1,0,Iodixanol increases the level of Creatinine in the blood
Iohexol,Creatinine,increased,1,0,Iohexol increases the level of Creatinine in the blood
Iopamidol,Creatinine,increased,1,0,Iopamidol increases the level of Creatinine in the blood
Iopromide,Creatinine,increased,1,0,Iopromide increases the level of Creatinine in the blood
Ioversol,Creatinine,increased,1,0,Ioversol increases the level of Creatinine in the blood
Irbesartan,HDL cholesterol,increased,1,0,Irbesartan increases the level of HDL cholesterol in the blood
Irbesartan,LDL cholesterol,decreased,0,1,Irbesartan decreases the level of LDL cholesterol in the blood
Irbesartan,Triglycerides,decreased,0,1,Irbesartan decreases the level of Triglycerides in the blood
Irbesartan,Bilirubin,increased,1,0,Irbesartan increases the level of Bilirubin in the blood
Irbesartan,Glucose,decreased,0,1,Irbesartan decreases the level of Glucose in the blood
Irbesartan,Creatinine,increased,1,0,Irbesartan increases the level of Creatinine in the blood
Irbesartan,Aldosterone,decreased,0,1,Irbesartan decreases the level of Aldosterone in the blood
Iron sucrose,Iron,increased,1,0,Iron sucrose increases the level of Iron in the blood
Iron sucrose,Phosphate,decreased,0,1,Iron sucrose decreases the level of Phosphate in the blood
Isocarboxazid,Serotonin,increased,1,0,Isocarboxazid increases the level of Serotonin in the blood
Isoflurane,Glucose,increased,1,0,Isoflurane increases the level of Glucose in the blood
Isoflurane,Creatinine,increased,1,0,Isoflurane increases the level of Creatinine in the blood
Isoprenaline,Free fatty acids,increased,1,0,Isoprenaline increases the level of Free fatty acids in the blood
Isoprenaline,Free fatty acids,increased,1,0,Isoprenaline increases the level of Free fatty acids in the blood
Isoprenaline,Glucose,increased,1,0,Isoprenaline increases the level of Glucose in the blood
Isoprenaline,potassium,decreased,0,1,Isoprenaline decreases the level of potassium in the blood
Isoprenaline,Glycerol,increased,1,0,Isoprenaline increases the level of Glycerol in the blood
Isoprenaline,Lactate,increased,1,0,Isoprenaline increases the level of Lactate in the blood
Isosorbide dinitrate,Uric acid,increased,1,0,Isosorbide dinitrate increases the level of Uric acid in the blood
Isotretinoin,HDL cholesterol,decreased,0,1,Isotretinoin decreases the level of HDL cholesterol in the blood
Isotretinoin,Thyroxine,decreased,0,1,Isotretinoin decreases the level of Thyroxine in the blood
Isotretinoin,Total cholesterol,increased,1,0,Isotretinoin increases the level of Total cholesterol in the blood
Isotretinoin,Calcium,decreased,0,1,Isotretinoin decreases the level of Calcium in the blood
Isotretinoin,Triglycerides,increased,1,0,Isotretinoin increases the level of Triglycerides in the blood
Isotretinoin,LDL cholesterol,increased,1,0,Isotretinoin increases the level of LDL cholesterol in the blood
Isotretinoin,"1,25-dihydroxyvitamin D",increased,1,0,"Isotretinoin increases the level of 1,25-dihydroxyvitamin D in the blood"
Isotretinoin,Cholesterol,increased,1,0,Isotretinoin increases the level of Cholesterol in the blood
Isotretinoin,Homocysteine,increased,1,0,Isotretinoin increases the level of Homocysteine in the blood
Isoxsuprine,Free fatty acids,increased,1,0,Isoxsuprine increases the level of Free fatty acids in the blood
Isradipine,Glucose,increased,1,0,Isradipine increases the level of Glucose in the blood
Ketamine,Acetylcarnitine,increased,1,0,Ketamine increases the level of Acetylcarnitine in the blood
Ketamine,Alloxanoic acid NIST,decreased,0,1,Ketamine decreases the level of Alloxanoic acid NIST in the blood
Ketamine,Threitol,decreased,0,1,Ketamine decreases the level of Threitol in the blood
Ketamine,Tocopherol alpha-,decreased,0,1,Ketamine decreases the level of Tocopherol alpha- in the blood
Ketamine,Cholesterol,decreased,0,1,Ketamine decreases the level of Cholesterol in the blood
Ketamine,Lactic acid,decreased,0,1,Ketamine decreases the level of Lactic acid in the blood
Ketamine,Deoxytetradecasphinganine,increased,1,0,Ketamine increases the level of Deoxytetradecasphinganine in the blood
Ketamine,Quinic acid,decreased,0,1,Ketamine decreases the level of Quinic acid in the blood
Ketamine,Phenylvaleric acid,increased,1,0,Ketamine increases the level of Phenylvaleric acid in the blood
Ketamine,Phenyllactic acid,increased,1,0,Ketamine increases the level of Phenyllactic acid in the blood
Ketamine,Valerylcarnitine,decreased,0,1,Ketamine decreases the level of Valerylcarnitine in the blood
Ketamine,Malonylcarnitine,increased,1,0,Ketamine increases the level of Malonylcarnitine in the blood
Ketamine,Pentadecatetraenal,decreased,0,1,Ketamine decreases the level of Pentadecatetraenal in the blood
Ketamine,Decanamide,decreased,0,1,Ketamine decreases the level of Decanamide in the blood
Ketamine,Indole-3-acetate,decreased,0,1,Ketamine decreases the level of Indole-3-acetate in the blood
Ketamine,Hexadecanoylcarnitine,increased,1,0,Ketamine increases the level of Hexadecanoylcarnitine in the blood
Ketamine,LPC (16:1),decreased,0,1,Ketamine decreases the level of LPC (16:1) in the blood
Ketamine,Ethanolamine,decreased,0,1,Ketamine decreases the level of Ethanolamine in the blood
Ketamine,Butyrylcarnitine,decreased,0,1,Ketamine decreases the level of Butyrylcarnitine in the blood
Ketamine,Hexenedial,increased,1,0,Ketamine increases the level of Hexenedial in the blood
Ketamine,Dimethyldioxododecatrienal,increased,1,0,Ketamine increases the level of Dimethyldioxododecatrienal in the blood
Ketamine,Tocopherol gamma-,decreased,0,1,Ketamine decreases the level of Tocopherol gamma- in the blood
Ketamine,Deoxytetradecasphingenine,decreased,0,1,Ketamine decreases the level of Deoxytetradecasphingenine in the blood
Ketamine,Arachidic acid,decreased,0,1,Ketamine decreases the level of Arachidic acid in the blood
Ketamine,Methionine sulfoxide,decreased,0,1,Ketamine decreases the level of Methionine sulfoxide in the blood
Ketamine,Hexadienoic acid,increased,1,0,Ketamine increases the level of Hexadienoic acid in the blood
Ketamine,Hexonic acid,increased,1,0,Ketamine increases the level of Hexonic acid in the blood
Ketamine,Arachidonic acid,increased,1,0,Ketamine increases the level of Arachidonic acid in the blood
Ketamine,Tagatose,increased,1,0,Ketamine increases the level of Tagatose in the blood
Ketamine,Oxohexenal,increased,1,0,Ketamine increases the level of Oxohexenal in the blood
Ketamine,Glutamic acid,increased,1,0,Ketamine increases the level of Glutamic acid in the blood
Ketamine,Galactonic acid,increased,1,0,Ketamine increases the level of Galactonic acid in the blood
Ketamine,Methionine sulfoxide,increased,1,0,Ketamine increases the level of Methionine sulfoxide in the blood
Ketamine,Dihydrobenzenediol,increased,1,0,Ketamine increases the level of Dihydrobenzenediol in the blood
Ketamine,Dehydroabietic acid,increased,1,0,Ketamine increases the level of Dehydroabietic acid in the blood
Ketamine,Isothreonic acid,increased,1,0,Ketamine increases the level of Isothreonic acid in the blood
Ketamine,Hydroxybutyrylcarnitine (malonylcarnitine) (C4-OH (C3-DC)),increased,1,0,Ketamine increases the level of Hydroxybutyrylcarnitine (malonylcarnitine) (C4-OH (C3-DC)) in the blood
Ketamine,Citric acid,increased,1,0,Ketamine increases the level of Citric acid in the blood
Ketamine,Glyceric acid,increased,1,0,Ketamine increases the level of Glyceric acid in the blood
Ketamine,Hydroxy-hexadienal,increased,1,0,Ketamine increases the level of Hydroxy-hexadienal in the blood
Ketamine,3-Hydroxybutyric acid,increased,1,0,Ketamine increases the level of 3-Hydroxybutyric acid in the blood
Ketamine,Acetylcarnitine (C2),increased,1,0,Ketamine increases the level of Acetylcarnitine (C2) in the blood
Ketamine,Gluconic acid,increased,1,0,Ketamine increases the level of Gluconic acid in the blood
Ketamine,Isovalerylcarnitine/2- 33 0.21 methylbutyrylcarnitine/ valerylcarnitine (C5),decreased,0,1,Ketamine decreases the level of Isovalerylcarnitine/2- 33 0.21 methylbutyrylcarnitine/ valerylcarnitine (C5) in the blood
Ketamine,Butyrylcarnitine /Isobutyrylcarnitine (C4),decreased,0,1,Ketamine decreases the level of Butyrylcarnitine /Isobutyrylcarnitine (C4) in the blood
Ketamine,Glucose,increased,1,0,Ketamine increases the level of Glucose in the blood
Ketamine,Xylose,increased,1,0,Ketamine increases the level of Xylose in the blood
Ketamine,Threonine,increased,1,0,Ketamine increases the level of Threonine in the blood
Ketamine,Oxoproline,increased,1,0,Ketamine increases the level of Oxoproline in the blood
Ketamine,Mannose,increased,1,0,Ketamine increases the level of Mannose in the blood
Ketamine,Xylitol,increased,1,0,Ketamine increases the level of Xylitol in the blood
Ketamine,Hexadecanoylcarnitine ( = palmitoylcarnitine) (C16),increased,1,0,Ketamine increases the level of Hexadecanoylcarnitine ( = palmitoylcarnitine) (C16) in the blood
Ketamine,Arginine (Arg),increased,1,0,Ketamine increases the level of Arginine (Arg) in the blood
Ketamine,Hexose (H1),increased,1,0,Ketamine increases the level of Hexose (H1) in the blood
Ketamine,Fructose,increased,1,0,Ketamine increases the level of Fructose in the blood
Ketamine,Threonic acid,increased,1,0,Ketamine increases the level of Threonic acid in the blood
Ketanserin,Adrenaline,increased,1,0,Ketanserin increases the level of Adrenaline in the blood
Ketanserin,Noradrenaline,increased,1,0,Ketanserin increases the level of Noradrenaline in the blood
Ketanserin,Creatinine,increased,1,0,Ketanserin increases the level of Creatinine in the blood
Ketoconazole,17 beta-estradiol,decreased,0,1,Ketoconazole decreases the level of 17 beta-estradiol in the blood
Ketoconazole,Norbuprenorphine,increased,1,0,Ketoconazole increases the level of Norbuprenorphine in the blood
Ketoconazole,"1,25-dihydroxyvitamin D",decreased,0,1,"Ketoconazole decreases the level of 1,25-dihydroxyvitamin D in the blood"
Ketoconazole,Dehydroepiandrosterone,decreased,0,1,Ketoconazole decreases the level of Dehydroepiandrosterone in the blood
Ketoconazole,Total testosterone,decreased,0,1,Ketoconazole decreases the level of Total testosterone in the blood
Ketoconazole,5alpha-dihydrotestosterone,decreased,0,1,Ketoconazole decreases the level of 5alpha-dihydrotestosterone in the blood
Ketoconazole,Estradiol,decreased,0,1,Ketoconazole decreases the level of Estradiol in the blood
Ketoconazole,18-hydroxcorticosterone,decreased,0,1,Ketoconazole decreases the level of 18-hydroxcorticosterone in the blood
Ketoconazole,Testosterone,decreased,0,1,Ketoconazole decreases the level of Testosterone in the blood
Ketoconazole,Potassium,increased,1,0,Ketoconazole increases the level of Potassium in the blood
Ketoconazole,11-deoxycorticosterone,increased,1,0,Ketoconazole increases the level of 11-deoxycorticosterone in the blood
Ketoconazole,Corticosterone,increased,1,0,Ketoconazole increases the level of Corticosterone in the blood
Ketoconazole,Dehydroepiandrosterone sulfate,decreased,0,1,Ketoconazole decreases the level of Dehydroepiandrosterone sulfate in the blood
Ketoconazole,Androstenedione,decreased,0,1,Ketoconazole decreases the level of Androstenedione in the blood
Ketoconazole,17-hydroxyprogesterone,increased,1,0,Ketoconazole increases the level of 17-hydroxyprogesterone in the blood
Ketoconazole,Desoxycorticosterone,increased,1,0,Ketoconazole increases the level of Desoxycorticosterone in the blood
Ketoconazole,Aldosterone,decreased,0,1,Ketoconazole decreases the level of Aldosterone in the blood
Ketoconazole,Cortisol,decreased,0,1,Ketoconazole decreases the level of Cortisol in the blood
Ketoconazole,Norbuprenorphine-3beta-glucuronide,increased,1,0,Ketoconazole increases the level of Norbuprenorphine-3beta-glucuronide in the blood
Ketoconazole,Free testosterone,decreased,0,1,Ketoconazole decreases the level of Free testosterone in the blood
Ketoprofen,Thromboxane B2,decreased,0,1,Ketoprofen decreases the level of Thromboxane B2 in the blood
Ketorolac,Creatinine,increased,1,0,Ketorolac increases the level of Creatinine in the blood
Ketorolac,Thromboxane B2,decreased,0,1,Ketorolac decreases the level of Thromboxane B2 in the blood
Labetalol,6-keto-PGF1 alpha,decreased,0,1,Labetalol decreases the level of 6-keto-PGF1 alpha in the blood
Labetalol,Aldosterone,decreased,0,1,Labetalol decreases the level of Aldosterone in the blood
Labetalol,Glucose,increased,1,0,Labetalol increases the level of Glucose in the blood
Labetalol,Noradrenaline,decreased,0,1,Labetalol decreases the level of Noradrenaline in the blood
Lactitol,glucose,increased,1,0,Lactitol increases the level of glucose in the blood
Lactose,Glucose,increased,1,0,Lactose increases the level of Glucose in the blood
Lactulose,Ammonia,decreased,0,1,Lactulose decreases the level of Ammonia in the blood
Lactulose,Triglycerides,decreased,0,1,Lactulose decreases the level of Triglycerides in the blood
Lactulose,Urea,decreased,0,1,Lactulose decreases the level of Urea in the blood
Lactulose,Endotoxin,decreased,0,1,Lactulose decreases the level of Endotoxin in the blood
Lactulose,Creatinine,decreased,0,1,Lactulose decreases the level of Creatinine in the blood
Lactulose,Glucose,decreased,0,1,Lactulose decreases the level of Glucose in the blood
Lactulose,Lactate,increased,1,0,Lactulose increases the level of Lactate in the blood
Lamivudine,Bilirubin,decreased,0,1,Lamivudine decreases the level of Bilirubin in the blood
Lamivudine,Creatinine,increased,1,0,Lamivudine increases the level of Creatinine in the blood
Lamotrigine,Glutamate,increased,1,0,Lamotrigine increases the level of Glutamate in the blood
Lamotrigine,Glutamate,decreased,0,1,Lamotrigine decreases the level of Glutamate in the blood
Lamotrigine,Sodium,decreased,0,1,Lamotrigine decreases the level of Sodium in the blood
Lanreotide,Glucose,decreased,0,1,Lanreotide decreases the level of Glucose in the blood
Lanreotide,Serotonin,decreased,0,1,Lanreotide decreases the level of Serotonin in the blood
Lansoprazole,Calcium,decreased,0,1,Lansoprazole decreases the level of Calcium in the blood
Lansoprazole,Phosphate,increased,1,0,Lansoprazole increases the level of Phosphate in the blood
Lanthanum carbonate,Phosphate,decreased,0,1,Lanthanum carbonate decreases the level of Phosphate in the blood
Latamoxef,Bilirubin,increased,1,0,Latamoxef increases the level of Bilirubin in the blood
Leflunomide,Creatinine,decreased,0,1,Leflunomide decreases the level of Creatinine in the blood
Lercanidipine,Malondialdehyde,decreased,0,1,Lercanidipine decreases the level of Malondialdehyde in the blood
Lercanidipine,Isoprostanes,decreased,0,1,Lercanidipine decreases the level of Isoprostanes in the blood
Lercanidipine,Lipoperoxides,decreased,0,1,Lercanidipine decreases the level of Lipoperoxides in the blood
Lercanidipine,Glucose,decreased,0,1,Lercanidipine decreases the level of Glucose in the blood
Lercanidipine,Triglycerides,decreased,0,1,Lercanidipine decreases the level of Triglycerides in the blood
Letrozole,Estradiol,decreased,0,1,Letrozole decreases the level of Estradiol in the blood
Letrozole,Estrone sulfate,decreased,0,1,Letrozole decreases the level of Estrone sulfate in the blood
Letrozole,Oestradiol,decreased,0,1,Letrozole decreases the level of Oestradiol in the blood
Letrozole,Testosterone,increased,1,0,Letrozole increases the level of Testosterone in the blood
Letrozole,Estrogen,decreased,0,1,Letrozole decreases the level of Estrogen in the blood
Letrozole,Androstenedione,increased,1,0,Letrozole increases the level of Androstenedione in the blood
Letrozole,Estrone,decreased,0,1,Letrozole decreases the level of Estrone in the blood
Leuprolide,Calcium,increased,1,0,Leuprolide increases the level of Calcium in the blood
Leuprolide,Uric acid,increased,1,0,Leuprolide increases the level of Uric acid in the blood
Leuprolide,Estradiol,decreased,0,1,Leuprolide decreases the level of Estradiol in the blood
Leuprolide,Testosterone,decreased,0,1,Leuprolide decreases the level of Testosterone in the blood
Leuprolide,Total cholesterol,increased,1,0,Leuprolide increases the level of Total cholesterol in the blood
Leuprolide,Total testosterone,decreased,0,1,Leuprolide decreases the level of Total testosterone in the blood
Leuprolide,LDL cholesterol,increased,1,0,Leuprolide increases the level of LDL cholesterol in the blood
Leuprolide,HDL cholesterol,increased,1,0,Leuprolide increases the level of HDL cholesterol in the blood
Leuprolide,Estradiol,decreased,0,1,Leuprolide decreases the level of Estradiol in the blood
Leuprolide,Androstanediol glucuronide,decreased,0,1,Leuprolide decreases the level of Androstanediol glucuronide in the blood
Leuprolide,Androstenedione,decreased,0,1,Leuprolide decreases the level of Androstenedione in the blood
Leuprolide,Total cholesterol,increased,1,0,Leuprolide increases the level of Total cholesterol in the blood
Leuprolide,Testosterone,decreased,0,1,Leuprolide decreases the level of Testosterone in the blood
Leuprolide,Triglycerides,increased,1,0,Leuprolide increases the level of Triglycerides in the blood
Leuprolide,HDL cholesterol,increased,1,0,Leuprolide increases the level of HDL cholesterol in the blood
